text,language,script,is_phishing,category,danger_level,tactics
तुरंत सावधान! आपके खाते को असामान्य गतिविधि के कारण निलंबित कर दिया गया है। यहाँ क्लिक करके तुरंत सत्यापित करें।,Hindi,Devanagari,1,credential_request,high,urgency;impersonation;credential_request
मैंने आपके लिए एक नई फाइल बनाई है। कल का प्रेजेंटेशन अच्छा हुआ।,Hindi,Devanagari,0,normal,low,none
Aapka account suspicious activity ke wajah se lock ho gaya. Turant verify karo nahi toh permanent delete hoga.,Hindi,Roman,1,credential_request,high,urgency;fear_tactics
Mujhe aaj office late jaana pad jayega. Kya aap assignment kar doge?,Hindi,Roman,0,normal,low,none
आपकी बैंक खाते में ₹50,000 की unauthorized transfer दिखाई दी है। तुरंत अपने बैंक से संपर्क करें या यहाँ सत्यापित करें।,Hindi,Devanagari,1,credential_request,high,fear_tactics;urgency
आज शाम को मीटिंग है। क्या तुम समय पर आ सकते हो?,Hindi,Devanagari,0,normal,low,none
आपका PAN card गलत पाया गया। तुरंत आधिकारिक पोर्टल पर अपडेट करें।,Hindi,Devanagari,1,credential_request,high,impersonation;urgency
कल सिनेमा चलें? नई फिल्म आ गई है।,Hindi,Devanagari,0,normal,low,none
உங்கள் கணக்கு ஆபத்தில் உள்ளது! உடனே சரிபார்க்க வேண்டும்! இங்கே என்ற ஐடி உள்ளது,Tamil,Tamil,1,credential_request,high,urgency;fear_tactics
நேற்று நீங்கள் பிறந்த நாளுக்கு வாழ்த்துகள்! மிகுந்த சந்தோஷம்!,Tamil,Tamil,0,normal,low,none
Neenga urgent verify pannanum! Suspicious transaction kandupidichirukku. Click here: site link,Tamil,Roman,1,credential_request,high,urgency;fear_tactics
Naalai office a vandhiya? Lunch seikirka?,Tamil,Roman,0,normal,low,none
உங்கள் கணக்கு பாதுகாப்பு அறிவிப்பு: கடந்த 24 மணி நேரத்தில் 5 அசாதாரண நுழைவுகள் கண்டறியப்பட்டுள்ளன।,Tamil,Tamil,1,credential_request,high,fear_tactics;urgency
நன்றி உங்கள் பணம் பெற்றதற்கு। உங்கள் கொள்குறிப்பு ஈமেலில் அனுப்பப்பட்டுள்ளது।,Tamil,Tamil,0,normal,low,none
మీ ఖాతా తక్షణమే బ్లాక్ అవుతుంది! ఇప్పుడే సరిచేయండి! మీ పోర్టల్ లింక్ చేసుకోండి!,Telugu,Telugu,1,credential_request,high,urgency;fear_tactics
కల నేను చదువుకున్న పుస్తకం చాలా బాగుందని అనుకుంటున్నాను!,Telugu,Telugu,0,normal,low,none
Aapka account verify pending aundi. Agar abhi cheykuvundi, block ayipotadi. Urgent verify link.,Telugu,Roman,1,credential_request,high,urgency;fear_tactics
Naa office ma late ayya. Nee assignment cheyyaledu?,Telugu,Roman,0,normal,low,none
আপনার অ্যাকাউন্ট নিরাপত্তা ঝুঁকিতে রয়েছে! অবিলম্বে যাচাই করুন অথবা স্থায়ীভাবে লক হয়ে যাবে।,Bengali,Bengali,1,credential_request,high,urgency;fear_tactics
আপনার পাঠানো ফাইল সফলভাবে গ্রহণ করা হয়েছে।,Bengali,Bengali,0,normal,low,none
Aapka KYC pending hai! Ek din mein complete karo nahi toh account band ho jayega.,Bengali,Roman,1,credential_request,high,urgency;fear_tactics
Aaj ki meeting 5 minute late hogi.,Bengali,Roman,0,normal,low,none
तुरंत कार्रवाई करा! तुमचा खाता suspended झाला आहे. तुरंत verify कर नाही तर स्थाई रूप से बंद होऊन जाईल!,Marathi,Devanagari,1,credential_request,high,urgency;fear_tactics
कल जिम चलायला हवे का?,Marathi,Devanagari,0,normal,low,none
